EIS_measurement_id,EIS_Frequency,EIS_Z_abs,EIS_Z_phase,Capacity,EFC,PowerPc,PowerPd,DynamicCapacityProfil1,DynamicCapacityProfil2,SOC,Checkup,Temperature,Cell_Name,HardwareRevision,HardwareSerial,SoftwareRevision,CalibrationDate,Periods,CurrentScalingFactor,FrequencyCount,ContinousMeasurementPeriod,DiscardFirstLeastCommonPeriods,MultiplexerChannel,BatteryName,Voltage,Temperature_Inspectrum,VoltageAmplitude,Clipped,CurrentAmplitude,CurrentAverage,Time
73,0.01,0.002672113461812578,-0.5593950734586625,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.000000
73,0.016,0.0023042277080618577,-0.4508823614905869,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.000001
73,0.862,0.0015235117586274154,-0.08113463611484344,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000010
73,1.346,0.0014996149232466313,-0.08123146951230663,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000011
73,2.102,0.0014765679955386411,-0.08795693537960646,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000012
73,3.282,0.0014506313377081717,-0.10187598952786489,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000013
73,5.124,0.0014189356206734682,-0.12400463952066944,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000014
73,8.002,0.0013766385246301953,-0.15614734817498002,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000015
73,12.496,0.0013174490755277792,-0.19671750019611495,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000016
73,19.512,0.001237425365817672,-0.24276621101091914,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000017
73,30.47,0.001134665499255177,-0.2866721419945088,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000018
73,47.58,0.0010141424208586288,-0.3173592087133039,52.0,0.0,169.91,159.26,52.2796,52.1055,0.9,Initial,25.0,Cell 8,1.0,IE10521120002,1.6,2021/12/13,5,2.84584,32,10,0,0,,3.33251,25.3592,0.0106088,0,2.72766,-0.000500669,2023-10-23 13:11:39.0000019
