File,SOH,seg_id,direction,I_A,C_rate,step_dur_s,OCV_V,R0_ohm,R1_ohm,tau1_s,C1_F,R2_ohm,tau2_s,C2_F,V1_0_mV,V2_0_mV,R0_jump_ohm,R0_consistent,rmse_mV,degenerate,n_points
cell003_cyc,NA,4,DCH,-1.408,-0.469,3642.2,2.912,0.06204,0.10903,35.128,322.2,0.12188,592.0,4857.4,-153.53,-171.26,0.0382,False,2.959,False,1838
cell003_cyc,NA,6,CHA,1.403,0.468,0.0,2.9926,0.02477,-7.43404,60.0,-8.1,-11626.85203,4004.79,-0.3,-3.48,-81.46,0.0225,True,0.416,False,14408
cell003_cyc,NA,8,CHA,1.408,0.469,6619.4,4.1081,0.02502,0.02278,25.261,1108.8,0.01739,228.73,13154.6,32.08,24.49,0.01744,False,0.536,False,908
cell003_cyc,NA,10,DCH,-1.408,-0.469,4320.3,3.5852,0.01986,0.0166,37.4,2253.5,0.01055,253.47,24016.6,-23.37,-14.86,0.01744,False,0.862,False,907
cell003_cyc,NA,12,CHA,1.408,0.469,4322.1,4.1076,0.02655,0.02276,28.44,1249.4,0.0162,244.42,15090.7,32.05,22.81,0.02147,False,1.061,False,909
cell003_cyc,NA,14,DCH,-1.408,-0.469,4320.3,3.5826,0.01968,0.01654,36.748,2221.4,0.0102,254.77,24967.4,-23.29,-14.37,0.01728,False,0.868,False,907
cell003_cyc,NA,16,CHA,1.408,0.469,4321.3,4.108,0.02659,0.02234,27.543,1232.7,0.01639,230.9,14085.0,31.46,23.09,0.02139,False,0.4,False,908
cell003_cyc,NA,18,DCH,-1.408,-0.469,4320.3,3.5809,0.01967,0.01579,34.986,2215.3,0.01042,229.21,22001.5,-22.24,-14.67,0.01736,False,0.228,False,906
cell003_cyc,NA,20,CHA,1.408,0.469,4316.8,4.1075,0.02703,0.02281,29.279,1283.4,0.01584,249.01,15715.9,32.12,22.31,0.02273,False,1.064,False,909
cell003_cyc,NA,22,DCH,-1.408,-0.469,4320.3,3.5794,0.01969,0.01635,36.79,2249.7,0.00972,257.79,26509.9,-23.03,-13.69,0.0172,False,0.869,False,907
cell003_cyc,NA,24,CHA,1.408,0.469,4318.7,4.1078,0.02683,0.02244,27.915,1243.7,0.01624,234.41,14437.2,31.61,22.86,0.02265,False,0.378,False,908
cell003_cyc,NA,26,DCH,-1.408,-0.469,4320.3,3.5778,0.01949,0.01567,34.362,2192.4,0.01008,230.3,22847.4,-22.07,-14.19,0.01744,False,0.232,False,905
cell003_cyc,NA,28,CHA,1.408,0.469,4318.0,4.1077,0.0266,0.02256,27.067,1199.6,0.0164,230.31,14039.3,31.77,23.1,0.02273,False,0.399,False,908
cell003_cyc,NA,30,DCH,-1.408,-0.469,4320.3,3.5767,0.01973,0.01565,35.808,2288.6,0.00973,241.15,24790.1,-22.03,-13.7,0.01744,False,0.217,False,905
