片段编号;OCV (V);R0 (Ohm);R1 (Ohm);C1 (F);tau1 (s);R2 (Ohm);C2 (F);tau2 (s);RMSE (V);R²;I_prev (A);V_prior (V)
1;4,1081;0,025221;0,022594;1118,07;25,26;0,017372;13166,66;228,73;0,000536;0,996812;1,4082;4,1999
2;4,107932;0,026583;0,022211;1232,01;27,36;0,016513;13961,78;230,54;0,000398;0,99811;1,4082;4,1999
3;4,108021;0,026786;0,022156;1243,1;27,54;0,016376;14099,82;230,9;0,0004;0,998067;1,4083;4,2
4;4,107809;0,027104;0,022204;1267,87;28,15;0,016165;14479,28;234,06;0,000369;0,998348;1,4082;4,2
5;4,107752;0,027041;0,022252;1254,46;27,91;0,01622;14451,83;234,41;0,000378;0,998277;1,4082;4,2
6;4,107682;0,026821;0,022355;1210,74;27,07;0,016387;14054,34;230,31;0,000399;0,998107;1,4082;4,2
7;4,107715;0,027133;0,02219;1267,42;28,12;0,016133;14527,91;234,38;0,00038;0,998227;1,4083;4,1999
8;4,10775;0,026667;0,022372;1201,21;26,87;0,016393;13994,46;229,41;0,000407;0,998031;1,4083;4,1999
9;4,107613;0,027332;0,022158;1275,15;28,25;0,016122;14575,88;234,99;0,000368;0,998339;1,4082;4,2
10;4,107559;0,026925;0,022344;1219,27;27,24;0,016299;14135,72;230,4;0,000394;0,99814;1,4083;4,1999
11;4,107615;0,026979;0,022279;1226,08;27,32;0,016274;14146,56;230,23;0,000391;0,998166;1,4082;4,1999
12;4,107605;0,027197;0,022233;1254,52;27,89;0,016109;14512,1;233,78;0,000374;0,998296;1,4082;4,1999
13;4,10754;0,027152;0,022239;1228,71;27,32;0,016273;14211,38;231,26;0,000382;0,998239;1,4082;4,2
14;4,10749;0,027099;0,022244;1216,17;27,05;0,016352;14090,68;230,41;0,000391;0,998165;1,4083;4,2
15;4,10738;0,027562;0,022133;1275,1;28,22;0,016082;14586,57;234,59;0,000361;0,998388;1,4082;4,2
16;4,107556;0,02735;0,022149;1251,09;27,71;0,016149;14380,05;232,22;0,000373;0,998296;1,4083;4,2
17;4,107373;0,027667;0,022123;1283,74;28,4;0,015992;14740,08;235,73;0,00036;0,998387;1,4082;4,2
18;4,107387;0,027518;0,022211;1263,5;28,06;0,01604;14703,4;235,84;0,000376;0,998262;1,4083;4,2
19;4,107326;0,02719;0,022331;1212,74;27,08;0,016294;14183,91;231,11;0,000397;0,998104;1,4082;4,2
20;4,107444;0,02722;0,022265;1221,76;27,2;0,016243;14232,19;231,17;0,000393;0,998134;1,4083;4,2
21;4,107414;0,027165;0,022313;1205,43;26,9;0,016275;14135,55;230,06;0,000406;0,998015;1,4082;4,2
22;4,107309;0,027682;0,022132;1275,63;28,23;0,016009;14719,64;235,65;0,000359;0,998403;1,4083;4,2
23;4,107167;0,027756;0,022148;1273,25;28,2;0,016024;14684,15;235,3;0,000363;0,998369;1,4082;4,2
24;4,107255;0,027417;0,022265;1227,06;27,32;0,01618;14307,74;231,49;0,000387;0,998189;1,4083;4,2
25;4,107264;0,027483;0,022214;1235,81;27,45;0,016162;14377,21;232,37;0,000381;0,998229;1,4082;4,2
26;4,107223;0,027145;0,022384;1184,68;26,52;0,01636;14033,15;229,59;0,000418;0,997901;1,4082;4,2
27;4,107094;0,027423;0,022255;1227,43;27,32;0,016219;14343,18;232,63;0,000381;0,998242;1,4083;4,1999
28;4,107105;0,027706;0,02213;1251,02;27,68;0,016137;14405,58;232,46;0,000377;0,998251;1,4082;4,2
29;4,107297;0,027277;0,022231;1201,29;26,71;0,016328;14024,4;228,99;0,000397;0,998095;1,4082;4,2
30;4,107088;0,027515;0,022236;1219,83;27,12;0,016235;14230,64;231,03;0,000389;0,998165;1,4082;4,2
31;4,10712;0,027286;0,022295;1200,05;26,76;0,016302;14105,46;229,94;0,000408;0,997998;1,4082;4,1999
32;4,106917;0,027873;0,022217;1264,0;28,08;0,016012;14725,43;235,78;0,000377;0,998244;1,4083;4,2
33;4,107052;0,027668;0,022174;1246,77;27,65;0,016089;14557,69;234,22;0,000382;0,998204;1,4082;4,1999
34;4,106965;0,027891;0,022148;1261,5;27,94;0,016028;14635,31;234,58;0,000372;0,99829;1,4083;4,2
35;4,106964;0,027782;0,022153;1258,06;27,87;0,016059;14613,91;234,69;0,000373;0,998281;1,4082;4,1999
36;4,10679;0,028063;0,022137;1274,05;28,2;0,015996;14753,06;235,99;0,000366;0,998335;1,4082;4,2
37;4,106914;0,027925;0,022168;1258,58;27,9;0,016011;14601,56;233,79;0,000369;0,998316;1,4083;4,2
38;4,106961;0,027926;0,022098;1255,55;27,74;0,016047;14574,18;233,88;0,000365;0,998357;1,4083;4,2
39;4,106794;0,027912;0,022249;1252,1;27,86;0,016033;14769,95;236,81;0,000378;0,998246;1,4082;4,2
40;4,106816;0,027661;0,022306;1213,97;27,08;0,016211;14341,73;232,49;0,000393;0,99813;1,4082;4,2
41;4,106761;0,028093;0,022034;1274,44;28,08;0,016011;14643,91;234,47;0,00036;0,998383;1,4082;4,1999
42;4,106963;0,027488;0,022289;1192,13;26,57;0,016293;14114,11;229,95;0,000404;0,998021;1,4083;4,2
43;4,106749;0,027949;0,022205;1242,26;27,58;0,016067;14541,75;233,65;0,000379;0,99823;1,4083;4,2
44;4,106751;0,028056;0,022184;1261,42;27,98;0,01598;14810,7;236,68;0,000372;0,998279;1,4083;4,2
45;4,10668;0,02804;0,022172;1249,85;27,71;0,016059;14580,83;234,15;0,00037;0,998311;1,4083;4,2
46;4,106794;0,028066;0,022125;1260,72;27,89;0,015998;14728,68;235,63;0,000364;0,99835;1,4083;4,2
47;4,106762;0,027733;0,022283;1207,33;26,9;0,016201;14253,35;230,91;0,000398;0,998074;1,4082;4,2
48;4,106688;0,028141;0,02207;1270,19;28,03;0,015979;14733,31;235,42;0,000365;0,998341;1,4082;4,1999
49;4,106634;0,027864;0,022218;1223,99;27,19;0,016147;14356,84;231,82;0,000385;0,99819;1,4082;4,1999
50;4,106703;0,02788;0,022206;1219,5;27,08;0,016168;14289,87;231,04;0,000389;0,998152;1,4083;4,2
51;4,106703;0,028031;0,022186;1251,49;27,77;0,015958;14730,34;235,07;0,000374;0,998274;1,4083;4,1999
52;4,106594;0,028209;0,022151;1261,06;27,93;0,015975;14787,35;236,23;0,000369;0,998304;1,4082;4,2
53;4,106643;0,027695;0,022342;1190,45;26,6;0,016265;14188,34;230,77;0,00041;0,997963;1,4082;4,2
54;4,106509;0,028187;0,022184;1249,04;27,71;0,016021;14678,44;235,16;0,000373;0,998275;1,4083;4,2
55;4,106674;0,028084;0,022139;1242,25;27,5;0,016056;14609,39;234,57;0,00037;0,998303;1,4082;4,2
56;4,106465;0,028344;0,022098;1275,22;28,18;0,015902;14886,06;236,72;0,000366;0,998317;1,4083;4,1999
57;4,106494;0,028379;0,022108;1273,36;28,15;0,015915;14921,31;237,47;0,000371;0,998272;1,4083;4,2
58;4,106425;0,028049;0,022281;1219,63;27,17;0,016125;14426,34;232,63;0,00039;0,99814;1,4082;4,2
59;4,106533;0,028264;0,02216;1256,81;27,85;0,015955;14791,2;236,0;0,000369;0,998305;1,4082;4,2
60;4,106479;0,028323;0,022135;1256,8;27,82;0,015959;14722,95;234,97;0,000372;0,998273;1,4082;4,2
61;4,106465;0,027996;0,022237;1221,84;27,17;0,016116;14451,02;232,89;0,000392;0,998118;1,4082;4,1999
62;4,106399;0,028043;0,022219;1209,49;26,87;0,016212;14247,59;230,98;0,000397;0,998073;1,4082;4,2
63;4,1064;0,028345;0,022109;1260,96;27,88;0,015936;14764,06;235,29;0,000368;0,998306;1,4083;4,1999
64;4,10645;0,028094;0,022245;1229,61;27,35;0,016019;14619,81;234,2;0,000387;0,998156;1,4082;4,1999
65;4,106316;0,028352;0,022179;1247,26;27,66;0,015998;14719,58;235,49;0,000379;0,998219;1,4083;4,2
66;4,106331;0,027839;0,022408;1186,76;26,59;0,016193;14347,62;232,33;0,000417;0,997891;1,4083;4,1999
67;4,106287;0,028069;0,022307;1199,19;26,75;0,016177;14322,65;231,7;0,000402;0,998032;1,4082;4,2
68;4,106473;0,027902;0,022291;1188,94;26,5;0,016224;14221,3;230,73;0,000408;0,997979;1,4083;4,2
69;4,106349;0,027788;0,022423;1163,61;26,09;0,016294;14055,52;229,03;0,00043;0,997756;1,4083;4,2
70;4,106344;0,028084;0,022305;1203,28;26,84;0,016119;14452,86;232,97;0,000406;0,997983;1,4083;4,2
71;4,106213;0,02823;0,022262;1215,58;27,06;0,01611;14478,96;233,25;0,000387;0,998164;1,4083;4,2
72;4,106308;0,028197;0,02226;1215,48;27,06;0,016082;14518,66;233,49;0,000392;0,998115;1,4082;4,2
73;4,106245;0,028348;0,022155;1241,23;27,5;0,015998;14648,89;234,35;0,000382;0,99819;1,4083;4,1999
74;4,106205;0,028537;0,022087;1255,91;27,74;0,015983;14730,71;235,45;0,00037;0,998296;1,4083;4,2
75;4,106129;0,028314;0,02223;1219,89;27,12;0,016123;14451,16;232,99;0,000387;0,998164;1,4082;4,2
76;4,106207;0,028104;0,022254;1202,03;26,75;0,016173;14271,78;230,81;0,000396;0,998089;1,4082;4,1999
77;4,106208;0,02862;0,022093;1261,63;27,87;0,015897;14842,21;235,94;0,000375;0,998224;1,4082;4,2
78;4,106073;0,028648;0,022146;1258,87;27,88;0,015911;14904,5;237,15;0,000378;0,998205;1,4082;4,2
79;4,106048;0,028517;0,02222;1239,74;27,55;0,015986;14805,4;236,68;0,000381;0,998207;1,4082;4,2
80;4,106034;0,028313;0,022231;1216,1;27,03;0,016111;14503,45;233,66;0,00039;0,998132;1,4082;4,1999
81;4,106136;0,02858;0,022106;1248,99;27,61;0,015975;14764,23;235,86;0,000381;0,998178;1,4082;4,2
82;4,105999;0,028736;0,022114;1257,7;27,81;0,015908;14858,26;236,36;0,000372;0,998261;1,4082;4,2
83;4,10612;0,028112;0,022299;1189,12;26,52;0,016178;14292,81;231,24;0,000413;0,997915;1,4083;4,1999
84;4,105963;0,028266;0,022336;1202,07;26,85;0,016099;14462,06;232,82;0,0004;0,998041;1,4083;4,1999
85;4,10604;0,028552;0,022188;1245,52;27,64;0,015906;14868,3;236,5;0,000384;0,99815;1,4083;4,1999
86;4,106004;0,028782;0,022089;1264,15;27,92;0,01588;14919,14;236,91;0,00037;0,998277;1,4083;4,2
87;4,106042;0,02848;0,022168;1222,92;27,11;0,016076;14484,22;232,84;0,000386;0,998156;1,4083;4,2
88;4,105922;0,028646;0,022151;1237,3;27,41;0,016012;14634,65;234,33;0,000385;0,998161;1,4083;4,2
89;4,105925;0,0287;0,022122;1253,03;27,72;0,015911;14770,62;235,01;0,000373;0,998253;1,4082;4,1999
90;4,10598;0,028809;0,022097;1261,61;27,88;0,015865;14916,03;236,65;0,000375;0,998224;1,4082;4,2
91;4,105909;0,028256;0,022311;1187,74;26,5;0,016172;14346,85;232,01;0,000407;0,997975;1,4083;4,1999
92;4,105854;0,028592;0,02225;1224,82;27,25;0,016019;14709,38;235,64;0,000393;0,998087;1,4082;4,2
93;4,105811;0,028358;0,022403;1186,74;26,59;0,016131;14416,92;232,55;0,000417;0,997881;1,4082;4,2
94;4,105905;0,028838;0,022097;1261,0;27,86;0,015886;14941,06;237,35;0,000376;0,998217;1,4083;4,2
95;4,105818;0,028733;0,022187;1233,53;27,37;0,015967;14728,44;235,17;0,000387;0,998134;1,4082;4,2
96;4,105859;0,028446;0,022305;1197,43;26,71;0,016107;14435,65;232,51;0,000408;0,997961;1,4082;4,2
97;4,105668;0,02895;0,022149;1256,67;27,83;0,015889;14944,98;237,45;0,000374;0,998236;1,4083;4,2
98;4,105755;0,028821;0,022177;1253,17;27,79;0,015851;15005,46;237,85;0,000375;0,998232;1,4083;4,1999
99;4,105784;0,028821;0,022168;1246,34;27,63;0,015921;14846,43;236,37;0,000384;0,998147;1,4082;4,2
100;4,105766;0,028412;0,022341;1183,07;26,43;0,016171;14306,21;231,34;0,00041;0,997951;1,4082;4,2
101;4,10565;0,028624;0,022218;1213,41;26,96;0,01608;14496,56;233,11;0,000389;0,998137;1,4083;4,1999
102;4,105709;0,028499;0,022272;1196,73;26,65;0,016115;14352,89;231,29;0,000399;0,998047;1,4082;4,1999
103;4,10578;0,028497;0,0223;1192,39;26,59;0,016118;14425,14;232,5;0,000408;0,997962;1,4082;4,2
104;4,105619;0,02871;0,022292;1214,59;27,08;0,016021;14690,61;235,36;0,000397;0,998056;1,4083;4,2
